year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Texas,TX,Maverick,10397,2816,13588,20.72416838,76.51604357,55.79187518,48323
2016,Texas,TX,Medina,4634,12085,17246,70.07422011,26.86999884,-43.20422127,48325
2016,Texas,TX,Menard,154,682,864,78.93518519,17.82407407,-61.11111111,48327
2016,Texas,TX,Midland,10025,36973,49212,75.13004958,20.37104771,-54.75900187,48329
2016,Texas,TX,Milam,2051,6364,8664,73.45337027,23.67266851,-49.78070175,48331
2016,Texas,TX,Mills,243,1951,2245,86.90423163,10.82405345,-76.08017817,48333
2016,Texas,TX,Mitchell,354,1780,2196,81.0564663,16.12021858,-64.93624772,48335
2016,Texas,TX,Montague,885,7526,8604,87.47094375,10.28591353,-77.18503022,48337
2016,Texas,TX,Montgomery,45835,150314,204632,73.45576449,22.39874506,-51.05701943,48339
2016,Texas,TX,Moore,1098,3977,5284,75.26495079,20.77971234,-54.48523846,48341
2016,Texas,TX,Morris,1425,3446,4973,69.29418862,28.65473557,-40.63945305,48343
2016,Texas,TX,Motley,40,566,615,92.03252033,6.504065041,-85.52845528,48345
2016,Texas,TX,Nacogdoches,6846,14771,22622,65.29484573,30.26257625,-35.03226947,48347
2016,Texas,TX,Navarro,4002,11994,16433,72.98728169,24.35343516,-48.63384653,48349
2016,Texas,TX,Newton,1156,4288,5534,77.4846404,20.88904951,-56.59559089,48351
2016,Texas,TX,Nolan,1029,3552,4857,73.13156269,21.18591723,-51.94564546,48353
2016,Texas,TX,Nueces,49198,50766,104405,48.62410804,47.12226426,-1.501843781,48355
2016,Texas,TX,Ochiltree,274,2628,3002,87.54163891,9.127248501,-78.41439041,48357
2016,Texas,TX,Oldham,78,850,948,89.66244726,8.227848101,-81.43459916,48359
2016,Texas,TX,Orange,5735,25513,32000,79.728125,17.921875,-61.80625,48361
2016,Texas,TX,Palo Pinto,1708,8284,10270,80.66212269,16.63096397,-64.03115871,48363
2016,Texas,TX,Panola,1835,8445,10416,81.07718894,17.6171275,-63.46006144,48365
2016,Texas,TX,Parker,8344,46473,56817,81.79418132,14.68574546,-67.10843586,48367
2016,Texas,TX,Parmer,485,1915,2466,77.65612328,19.6674777,-57.98864558,48369
2016,Texas,TX,Pecos,1554,2468,4185,58.97252091,37.13261649,-21.83990442,48371
2016,Texas,TX,Polk,4187,15176,19852,76.44569817,21.09107395,-55.35462422,48373
2016,Texas,TX,Potter,7657,19630,28651,68.51418799,26.72507068,-41.78911731,48375
2016,Texas,TX,Presidio,1458,652,2208,29.52898551,66.0326087,36.50362319,48377
2016,Texas,TX,Rains,628,3968,4701,84.40757286,13.35885982,-71.04871304,48379
2016,Texas,TX,Randall,8367,43462,54305,80.03314612,15.40742105,-64.62572507,48381
2016,Texas,TX,Reagan,167,709,904,78.42920354,18.47345133,-59.95575221,48383
2016,Texas,TX,Real,262,1382,1681,82.21296847,15.58596074,-66.62700773,48385
2016,Texas,TX,Red River,1149,3926,5161,76.07052897,22.2631273,-53.80740167,48387
2016,Texas,TX,Reeves,1659,1417,3184,44.50376884,52.10427136,7.600502513,48389
2016,Texas,TX,Refugio,1034,1830,2948,62.07598372,35.07462687,-27.00135685,48391
2016,Texas,TX,Roberts,20,524,554,94.58483755,3.610108303,-90.97472924,48393
2016,Texas,TX,Robertson,2203,4668,7035,66.35394456,31.3148543,-35.03909026,48395
2016,Texas,TX,Rockwall,9655,28451,39948,71.22008611,24.1689196,-47.05116652,48397
2016,Texas,TX,Runnels,453,3250,3782,85.93336859,11.97778953,-73.95557906,48399
2016,Texas,TX,Rusk,3935,14675,18994,77.26124039,20.71706855,-56.54417184,48401
