,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_democrat
41942,2016,Georgia,GA,Quitman,Hillary Clinton,democrat,461.0,1044,44.157088122605366
41945,2016,Georgia,GA,Rabun,Hillary Clinton,democrat,1444.0,7992,18.06806806806807
41948,2016,Georgia,GA,Randolph,Hillary Clinton,democrat,1598.0,2899,55.122456019317
41951,2016,Georgia,GA,Richmond,Hillary Clinton,democrat,48814.0,75515,64.64146196119977
41954,2016,Georgia,GA,Rockdale,Hillary Clinton,democrat,23255.0,37869,61.40906810319786
41957,2016,Georgia,GA,Schley,Hillary Clinton,democrat,401.0,1909,21.00576217915139
41960,2016,Georgia,GA,Screven,Hillary Clinton,democrat,2300.0,5715,40.24496937882765
41963,2016,Georgia,GA,Seminole,Hillary Clinton,democrat,1189.0,3588,33.138238573021184
41966,2016,Georgia,GA,Spalding,Hillary Clinton,democrat,9357.0,25704,36.402894491129786
41969,2016,Georgia,GA,Stephens,Hillary Clinton,democrat,1837.0,9815,18.716250636780437
41972,2016,Georgia,GA,Stewart,Hillary Clinton,democrat,1222.0,2058,59.37803692905733
41975,2016,Georgia,GA,Sumter,Hillary Clinton,democrat,5520.0,10974,50.30071077091307
41978,2016,Georgia,GA,Talbot,Hillary Clinton,democrat,2002.0,3246,61.67590881084411
41981,2016,Georgia,GA,Taliaferro,Hillary Clinton,democrat,545.0,897,60.758082497212925
41984,2016,Georgia,GA,Tattnall,Hillary Clinton,democrat,1681.0,6903,24.35173113139215
41987,2016,Georgia,GA,Taylor,Hillary Clinton,democrat,1296.0,3408,38.028169014084504
41990,2016,Georgia,GA,Telfair,Hillary Clinton,democrat,1313.0,3796,34.58904109589041
41993,2016,Georgia,GA,Terrell,Hillary Clinton,democrat,2267.0,4189,54.117927906421585
41996,2016,Georgia,GA,Thomas,Hillary Clinton,democrat,7142.0,18802,37.98532071056271
41999,2016,Georgia,GA,Tift,Hillary Clinton,democrat,4347.0,14219,30.571770166678387
42002,2016,Georgia,GA,Toombs,Hillary Clinton,democrat,2338.0,9138,25.58546727949223
42005,2016,Georgia,GA,Towns,Hillary Clinton,democrat,1210.0,6764,17.88882318154938
42008,2016,Georgia,GA,Treutlen,Hillary Clinton,democrat,862.0,2703,31.89049204587495
42011,2016,Georgia,GA,Troup,Hillary Clinton,democrat,9713.0,26111,37.198881697368925
42014,2016,Georgia,GA,Turner,Hillary Clinton,democrat,1246.0,3398,36.668628605061805
42017,2016,Georgia,GA,Twiggs,Hillary Clinton,democrat,1971.0,4059,48.55875831485588
42020,2016,Georgia,GA,Union,Hillary Clinton,democrat,1963.0,12063,16.272900605156263
42023,2016,Georgia,GA,Upson,Hillary Clinton,democrat,3475.0,10934,31.781598683007132
42026,2016,Georgia,GA,Walker,Hillary Clinton,democrat,4215.0,23956,17.594757054600098
42029,2016,Georgia,GA,Walton,Hillary Clinton,democrat,8292.0,40698,20.374465575703965
42032,2016,Georgia,GA,Ware,Hillary Clinton,democrat,3440.0,12184,28.233749179251475
42035,2016,Georgia,GA,Warren,Hillary Clinton,democrat,1314.0,2334,56.29820051413882
42038,2016,Georgia,GA,Washington,Hillary Clinton,democrat,4200.0,8461,49.63952251506914
42041,2016,Georgia,GA,Wayne,Hillary Clinton,democrat,2041.0,10413,19.600499375780274
42044,2016,Georgia,GA,Webster,Hillary Clinton,democrat,473.0,1116,42.38351254480286
42047,2016,Georgia,GA,Wheeler,Hillary Clinton,democrat,646.0,2102,30.73263558515699
42050,2016,Georgia,GA,White,Hillary Clinton,democrat,1674.0,11823,14.15884293326567
42053,2016,Georgia,GA,Whitfield,Hillary Clinton,democrat,7937.0,30658,25.88883814991193
42056,2016,Georgia,GA,Wilcox,Hillary Clinton,democrat,852.0,2976,28.62903225806452
42059,2016,Georgia,GA,Wilkes,Hillary Clinton,democrat,1848.0,4486,41.19482835488186
42062,2016,Georgia,GA,Wilkinson,Hillary Clinton,democrat,1894.0,4287,44.180079309540474
42065,2016,Georgia,GA,Worth,Hillary Clinton,democrat,2020.0,8295,24.35201928872815
