,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
41253,2016,Colorado,CO,Jefferson,Donald Trump,republican,138177.0,328882,42.01415705328963
41256,2016,Colorado,CO,Kiowa,Donald Trump,republican,728.0,855,85.14619883040936
41259,2016,Colorado,CO,Kit Carson,Donald Trump,republican,2967.0,3702,80.14586709886548
41262,2016,Colorado,CO,Lake,Donald Trump,republican,1270.0,3199,39.69990622069396
41265,2016,Colorado,CO,La Plata,Donald Trump,republican,12587.0,31150,40.40770465489567
41268,2016,Colorado,CO,Larimer,Donald Trump,republican,83430.0,195980,42.570670476579245
41271,2016,Colorado,CO,Las Animas,Donald Trump,republican,3710.0,6793,54.6150448991609
41274,2016,Colorado,CO,Lincoln,Donald Trump,republican,1892.0,2436,77.66830870279146
41277,2016,Colorado,CO,Logan,Donald Trump,republican,7282.0,9722,74.90228348076528
41280,2016,Colorado,CO,Mesa,Donald Trump,republican,49779.0,77653,64.10441322292763
41283,2016,Colorado,CO,Mineral,Donald Trump,republican,344.0,652,52.760736196319016
41286,2016,Colorado,CO,Moffat,Donald Trump,republican,5305.0,6525,81.30268199233717
41289,2016,Colorado,CO,Montezuma,Donald Trump,republican,7853.0,12858,61.074817234406595
41292,2016,Colorado,CO,Montrose,Donald Trump,republican,14382.0,21186,67.88445199660153
41295,2016,Colorado,CO,Morgan,Donald Trump,republican,8145.0,11960,68.10200668896321
41298,2016,Colorado,CO,Otero,Donald Trump,republican,4928.0,8452,58.30572645527686
41301,2016,Colorado,CO,Ouray,Donald Trump,republican,1351.0,3310,40.81570996978852
41304,2016,Colorado,CO,Park,Donald Trump,republican,6135.0,10417,58.894115388307576
41307,2016,Colorado,CO,Phillips,Donald Trump,republican,1791.0,2332,76.80102915951973
41310,2016,Colorado,CO,Pitkin,Donald Trump,republican,2550.0,10523,24.232633279483036
41313,2016,Colorado,CO,Prowers,Donald Trump,republican,3531.0,5016,70.39473684210526
41316,2016,Colorado,CO,Pueblo,Donald Trump,republican,36265.0,78646,46.11169035933169
41319,2016,Colorado,CO,Rio Blanco,Donald Trump,republican,2791.0,3450,80.89855072463769
